id,character,readings,shapes,components,strokes,radical_reading,radical_character,drawing,unicode
5331,薜,bách bệ phách,⿱,艹辟,16.0,thảo,艸,一丨丨フ一ノ丨フ一丶一丶ノ一一丨,U+859C
5332,蕷,dự,⿱,艹預,16.0,thảo,艸,一丨丨フ丶フ丨一ノ丨フ一一一ノ丶,U+8577
5333,蕾,lôi lội,⿱,艹雷,16.0,thảo,艸,一丨丨一丶フ丨丶丶丶丶丨フ一丨一,U+857E
5334,薐,lăng,⿱,艹稜,16.0,thảo,艸,一丨丨ノ一丨ノ丶一丨一ノ丶ノフ丶,U+8590
5335,藉,tá tạ tịch,⿱,艹耤,17.0,thảo,艸,一丨丨一一一丨ノ丶一丨丨一丨フ一一,U+85C9
5336,薺,tề tể,⿱,艹齊,17.0,thảo,艸,一丨丨丶一丶ノ丨フノノフ丶一ノ丨一一,U+85BA
5337,藏,tàng tạng,⿱,艹臧,17.0,thảo,艸,一丨丨一ノフ一ノ一丨フ一丨フフノ丶,U+85CF
5338,薹,đài,⿱,艹臺,17.0,thảo,艸,一丨丨一丨一丨フ一丶フ一フ丶一丨一,U+85B9
5339,藐,miểu miễu mạc,⿱,艹貌,17.0,thảo,艸,一丨丨ノ丶丶ノフノノノ丨フ一一ノフ,U+85D0
5340,藕,ngẫu,⿱,艹耦,18.0,thảo,艸,一丨丨一一一丨ノ丶丨フ一一丨フ丨一丶,U+85D5
5341,藝,nghệ,⿱,蓺云,18.0,thảo,艸,一丨丨一丨一ノ丶一丨一ノフ丶一一フ丶,U+85DD
5342,藥,dược,⿱,艹樂,18.0,thảo,艸,一丨丨ノ丨フ一一フフ丶フフ丶一丨ノ丶,U+85E5
5343,藜,lê,⿱,艹黎,18.0,thảo,艸,一丨丨ノ一丨ノ丶ノフノノ丶丨丶一ノ丶,U+85DC
5344,藹,ái,⿱,艹謁,19.0,thảo,艸,一丨丨丶一一一丨フ一丨フ一一ノフノ丶フ,U+85F9
5345,蘊,uấn uẩn ôn,⿱,艹縕,19.0,thảo,艸,一丨丨フフ丶丶丶丶丨フノ丶一丨フ丨丨一,U+860A
5346,蘓,tô,⿱⿰,艹禾魚,19.0,thảo,艸,一丨丨ノ一丨ノ丶ノフ丨フ一丨一丶丶丶丶,U+8613
5347,蘋,bình tần,⿱,艹頻,19.0,thảo,艸,一丨丨丨一丨一丨ノノ一ノ丨フ一一一ノ丶,U+860B
5348,藾,lại,⿱,艹賴,19.0,thảo,艸,一丨丨一丨フ一丨ノ丶ノフ丨フ一一一ノ丶,U+85FE
5349,藺,lận,⿱,艹閵,19.0,thảo,艸,一丨丨丨フ一一丨フ一一ノ丨丶一一一丨一,U+85FA
5350,蘆,lô lư,⿱,艹盧,19.0,thảo,艸,一丨丨丨一フノ一フ丨フ一丨一丨フ丨丨一,U+8606
5351,蘢,long lung,⿱,艹龍,19.0,thảo,艸,一丨丨丶一丶ノ一丨フ一一一フ一フ一一一,U+8622
5352,蘚,tiển,⿱,艹鮮,20.0,thảo,艸,一丨丨ノフ丨フ一丨一丶丶丶丶丶ノ一一一丨,U+861A
5353,蘰,man mãn mạn,⿱⿰,艸糸曼縵,20.0,thảo,艸,一丨丨フフ丶丶丶丶丨フ一一丨フ丨丨一フ丶,U+8630
5354,蘿,la,⿱,艹羅,22.0,thảo,艸,一丨丨丨フ丨丨一フフ丶丶丶丶ノ丨丶一一一丨一,U+863F
5355,虍,hô,⿸,七,6.0,hô,虍,丨一フノ一フ,U+864D
5356,乕,hổ,⿸,⺁二巾,7.0,triệt,丿,ノノ一一丨フ丨,U+4E55
5357,虔,kiền,⿸,虍文,10.0,hô,虍,丨一フノ一フ丶一ノ丶,U+8654
5358,號,hiệu hào hạo,⿰,号虎,13.0,hô,虍,丨フ一一フ丨一フノ一フノフ,U+865F
5359,虧,khuy,⿰,雐亏,17.0,hô,虍,丨一フノ一フノ丨丶一一一丨一一一フ,U+8667
5360,虱,sắt,⿹,⺄䖝,8.0,trùng,虫,フノ丨フ一丨一丶,U+8671
5361,蚓,dẫn,⿰,虫引,10.0,trùng,虫,丨フ一丨一丶フ一フ丨,U+8693
5362,蚣,công,⿰,虫公,10.0,trùng,虫,丨フ一丨一丶ノ丶フ丶,U+86A3
5363,蚩,si xi xuy,⿳,屮一虫,10.0,trùng,虫,フ丨丨一丨フ一丨一丶,U+86A9
5364,蚪,đẩu,⿰,虫斗,10.0,trùng,虫,丨フ一丨一丶丶丶一丨,U+86AA
5365,蚋,nhuế,⿰,虫内,10.0,trùng,虫,丨フ一丨一丶丨フノ丶,U+868B
5366,蚌,bạng,⿰,虫丰,10.0,trùng,虫,丨フ一丨一丶一一一丨,U+868C
5367,蚶,ham,⿰,虫甘,11.0,trùng,虫,丨フ一丨一丶一丨丨一一,U+86B6
5368,蚯,khâu khưu,⿰,虫丘,11.0,trùng,虫,丨フ一丨一丶ノ丨一丨一,U+86AF
5369,蛄,cô,⿰,虫古,11.0,trùng,虫,丨フ一丨一丶一丨丨フ一,U+86C4
5370,蛆,thư,⿰,虫且,11.0,trùng,虫,丨フ一丨一丶丨フ一一一,U+86C6
5371,蚰,do du,⿰,虫由,11.0,trùng,虫,丨フ一丨一丶丨フ一丨一,U+86B0
5372,蛉,linh,⿰,虫令,11.0,trùng,虫,丨フ一丨一丶ノ丶丶フ丶,U+86C9
5373,蠣,lệ,⿰,虫厲,20.0,trùng,虫,丨フ一丨一丶一ノ一丨丨丨フ一一丨フ丨一丶,U+8823
5374,蚫,bảo,⿰,虫包,11.0,trùng,虫,丨フ一丨一丶ノフフ一フ,U+86AB
5375,蛔,hồi,⿰,虫回,12.0,trùng,虫,丨フ一丨一丶丨フ丨フ一一,U+86D4
5376,蛞,khoát quát,⿰,虫舌,12.0,trùng,虫,丨フ一丨一丶ノ一丨丨フ一,U+86DE
5377,蛩,cung cùng củng,⿱,巩虫,12.0,trùng,虫,一丨一ノフ丶丨フ一丨一丶,U+86E9
5378,蛬,cung,⿱,共虫,12.0,trùng,虫,一丨丨一ノ丶丨フ一丨一丶,U+86EC
5379,蛟,giao,⿰,虫交,12.0,trùng,虫,丨フ一丨一丶丶一ノ丶ノ丶,U+86DF
5380,蛛,chu thù,⿰,虫朱,12.0,trùng,虫,丨フ一丨一丶ノ一一丨ノ丶,U+86DB
5381,蛯,tôm lôm,⿰,虫老,12.0,trùng,虫,丨フ一丨一丶一丨一ノノフ,U+86EF
5382,蜒,diên duyên,⿰,虫延,12.0,trùng,虫,丨フ一丨一丶ノ丨一フフ丶,U+8712
5383,蜆,hiện,⿰,虫見,13.0,trùng,虫,丨フ一丨一丶丨フ一一一ノフ,U+8706
5384,蜈,ngô,⿰,虫吴,13.0,trùng,虫,丨フ一丨一丶丨フ一一一ノ丶,U+8708
5385,蜀,thục,⿹,网勹虫,13.0,trùng,虫,丨フ丨丨一ノフ丨フ一丨一丶,U+8700
5386,蜃,thận,⿸,辰虫,13.0,trùng,虫,一ノ一一フノ丶丨フ一丨一丶,U+8703
5387,蛻,thuế,⿰,虫兌,13.0,trùng,虫,丨フ一丨一丶ノ丶丨フ一ノフ,U+86FB
5388,蜑,đản,⿱,延虫,12.0,trùng,虫,ノ丨一フフ丶丨フ一丨一丶,U+8711
5389,蜉,phù,⿰,虫孚,13.0,trùng,虫,丨フ一丨一丶ノ丶丶ノフ丨一,U+8709
5390,蜍,thừ,⿰,虫余,13.0,trùng,虫,丨フ一丨一丶ノ丶一一丨ノ丶,U+870D
5391,蛹,dõng dũng,⿰,虫甬,13.0,trùng,虫,丨フ一丨一丶フ丶丨フ一一丨,U+86F9
5392,蜊,ly lị lợi,⿰,虫利,13.0,trùng,虫,丨フ一丨一丶ノ一丨ノ丶丨丨,U+870A
5393,蜴,dịch,⿰,虫易,14.0,trùng,虫,丨フ一丨一丶丨フ一一ノフノノ,U+8734
5394,蜿,uyển,⿰,虫宛,14.0,trùng,虫,丨フ一丨一丶丶丶フノフ丶フフ,U+873F
5395,蜷,quyền,⿰,虫卷,14.0,trùng,虫,丨フ一丨一丶丶ノ一一ノ丶フフ,U+8737
5396,蜻,thanh tinh,⿰,虫青,14.0,trùng,虫,丨フ一丨一丶一一丨一丨フ一一,U+873B
5397,蜥,tích,⿰,虫析,14.0,trùng,虫,丨フ一丨一丶一丨ノ丶ノノ一丨,U+8725
5398,蜩,điêu,⿰,虫周,14.0,trùng,虫,丨フ一丨一丶ノフ一丨一丨フ一,U+8729
5399,蜚,phi phỉ,⿱,非虫,14.0,trùng,虫,丨一一一丨一一一丨フ一丨一丶,U+871A
5400,蝠,bức,⿰,虫畐,15.0,trùng,虫,丨フ一丨一丶一丨フ一丨フ一丨一,U+8760
5401,蝟,vị,⿰,虫胃,15.0,trùng,虫,丨フ一丨一丶丨フ一丨一丨フ一一,U+875F
5402,蝸,oa qua,⿰,虫咼,14.0,trùng,虫,丨フ一丨一丶丨フフ丨フ丨フ一,U+8778
5403,蝌,khoa,⿰,虫科,15.0,trùng,虫,丨フ一丨一丶ノ一丨ノ丶丶丶一丨,U+874C
5404,蝎,hiết hạt yết,⿰,虫曷,15.0,trùng,虫,丨フ一丨一丶丨フ一一ノフノ丶フ,U+874E
5405,蝴,hồ,⿰,虫胡,15.0,trùng,虫,丨フ一丨一丶一丨丨フ一ノフ一一,U+8774
5406,蝗,hoàng,⿰,虫皇,15.0,trùng,虫,丨フ一丨一丶ノ丨フ一一一一丨一,U+8757
5407,蝨,sắt,⿱,卂䖵,15.0,trùng,虫,フ一丨丨フ一丨一丶丨フ一丨一丶,U+8768
5408,蝮,phúc,⿰,虫复,15.0,trùng,虫,丨フ一丨一丶ノ一丨フ一一ノフ丶,U+876E
5409,蝙,biên biển,⿰,虫扁,15.0,trùng,虫,丨フ一丨一丶丶フ一ノ丨フ一丨丨,U+8759
5410,蝓,du,⿰,虫俞,15.0,trùng,虫,丨フ一丨一丶ノ丶一丨フ一一丨丨,U+8753
5411,蝣,du,⿰,虫斿,15.0,trùng,虫,丨フ一丨一丶丶一フノノ一フ丨一,U+8763
5412,蝪,ương èn,⿰,虫昜旦勿日,15.0,trùng,虫,丨フ一丨一丶丨フ一一一ノフノノ,U+876A
5413,蠅,dăng,⿰,虫黽,19.0,trùng,虫,丨フ一丨一丶丨フ一一丨フ一丨一一フ一一,U+8805
5414,螢,huỳnh,⿱⿱,炏冖虫,16.0,trùng,虫,丶ノノ丶丶ノノ丶丶フ丨フ一丨一丶,U+87A2
5415,螟,minh,⿰,虫冥,16.0,trùng,虫,丨フ一丨一丶丶フ丨フ一一丶一ノ丶,U+879F
5416,螂,lang,⿰,虫郎,14.0,trùng,虫,丨フ一丨一丶丶フ一一フ丶フ丨,U+8782
5417,螯,ngao,⿱,敖虫,16.0,trùng,虫,一一丨一フノノ一ノ丶丨フ一丨一丶,U+87AF
5418,蟋,tất,⿰,虫悉,17.0,trùng,虫,丨フ一丨一丶ノ丶ノ一丨ノ丶丶フ丶丶,U+87CB
5419,螽,chung,⿱,冬䖵,17.0,trùng,虫,ノフ丶丶丶丨フ一丨一丶丨フ一丨一丶,U+87BD
5420,蟀,suất,⿰,虫率,17.0,trùng,虫,丨フ一丨一丶丶一フフ丶丶一ノ丶一丨,U+87C0
5421,蟐,sường trường,⿰,虫常口巾吊,17.0,trùng,虫,丨フ一丨一丶丨丶ノ丶フ丨フ一丨フ丨,U+87D0
5422,雖,tuy vị,⿰,虽隹,17.0,chuy,隹,丨フ一丨フ一丨一丶ノ丨丶一一一丨一,U+96D6
5423,螫,thích,⿱,赦虫,17.0,trùng,虫,一丨一ノ丨ノ丶ノ一ノ丶丨フ一丨一丶,U+87AB
5424,蟄,chập trập,⿱,執虫,17.0,trùng,虫,一丨一丶ノ一一丨ノフ丶丨フ一丨一丶,U+87C4
5425,螳,đường,⿰,虫堂,17.0,trùng,虫,丨フ一丨一丶丨丶ノ丶フ丨フ一一丨一,U+87B3
5426,蟇,mạc,⿱,莫虫,16.0,trùng,虫,一丨丨丨フ一一一ノ丶丨フ一丨一丶,U+87C7
5427,蟆,mô mạc,⿰,虫莫,16.0,trùng,虫,丨フ一丨一丶一丨丨丨フ一一一ノ丶,U+87C6
5428,螻,lâu,⿰,虫婁,17.0,trùng,虫,丨フ一丨一丶丨フ一一丨フ一丨フノ一,U+87BB
5429,蟯,nhiêu,⿰,虫堯,18.0,trùng,虫,丨フ一丨一丶一丨一一丨一一丨一一ノフ,U+87EF
5430,蟲,trùng,⿱,虫䖵,18.0,trùng,虫,丨フ一丨一丶丨フ一丨一丶丨フ一丨一丶,U+87F2
5431,蟠,bàn phiền,⿰,虫番,18.0,trùng,虫,丨フ一丨一丶ノ丶ノ一丨ノ丶丨フ一丨一,U+87E0
5432,蠏,giải,⿰,虫解,19.0,trùng,虫,丨フ一丨一丶ノフノフ一一丨フノノ一一丨,U+880F
5433,蠍,hiết yết,⿰,虫歇,19.0,trùng,虫,丨フ一丨一丶丨フ一一ノフノ丶フノフノ丶,U+880D
5434,蟾,thiềm,⿰,虫詹,19.0,trùng,虫,丨フ一丨一丶ノフ一ノノ丶丶一一一丨フ一,U+87FE
5435,蟶,sanh,⿰,虫聖,19.0,trùng,虫,丨フ一丨一丶一丨丨一一一丨フ一一一丨一,U+87F6
5436,蟷,đương,⿰,虫當,19.0,trùng,虫,丨フ一丨一丶丨丶ノ丶フ丨フ一丨フ一丨一,U+87F7
5437,蠎,mãng,⿰,虫莾,17.0,trùng,虫,丨フ一丨一丶一丨丨一ノ丶一丨一ノ丨,U+880E
5438,蟒,mãng mãnh,⿰,虫莽,16.0,trùng,虫,丨フ一丨一丶一丨丨一ノ丶丶一ノ丨,U+87D2
5439,蠑,vinh,⿰,虫榮,20.0,trùng,虫,丨フ一丨一丶丶ノノ丶丶ノノ丶丶フ一丨ノ丶,U+8811
5440,蠖,hoạch oách,⿰,虫蒦,19.0,trùng,虫,丨フ一丨一丶一丨丨ノ丨丶一一一丨一フ丶,U+8816
5441,蠕,nhu nhuyễn,⿰,虫需,20.0,trùng,虫,丨フ一丨一丶一丶フ丨丶丶丶丶一ノ丨フ丨丨,U+8815
5442,蠢,xuẩn,⿱,春䖵,21.0,trùng,虫,一一一ノ丶丨フ一一丨フ一丨一丶丨フ一丨一丶,U+8822
5443,蠡,loả lãi lê lễ,⿱,彖䖵,21.0,trùng,虫,フフ一ノフノノノ丶丨フ一丨一丶丨フ一丨一丶,U+8821
5444,蠱,cổ,⿱,蟲皿,23.0,trùng,虫,丨フ一丨一丶丨フ一丨一丶丨フ一丨一丶丨フ丨丨一,U+8831
5445,蠶,tàm tằm,⿳⿰,旡旡日䖵,24.0,trùng,虫,一フノフ一フノフ丨フ一一丨フ一丨一丶丨フ一丨一丶,U+8836
5446,蠹,đố,⿱,中冖石虫口,24.0,trùng,虫,一丨フ一丨丶フ一ノ丨フ一丨フ一丨一丶丨フ一丨一丶,U+8839
5447,蠧,đố,⿱⿱⿱,士冖石䖵,22.0,trùng,虫,一丨一丶フ一ノ丨フ一丨フ一丨一丶丨フ一丨一丶,U+8827
5448,蠻,man,⿱,䜌虫,25.0,trùng,虫,丶一一一丨フ一フフ丶丶丶丶フフ丶丶丶丶丨フ一丨一丶,U+883B
5449,衄,nục,⿰,血丑,10.0,huyết,血,ノ丨フ丨丨一フ丨一一,U+8844
5450,衂,nục,⿰,血刃,9.0,huyết,血,ノ丨フ丨丨一フノ丶,U+8842
5451,衒,huyễn,⿴,行玄,11.0,hành,行,ノノ丨丶一フフ丶一一丨,U+8852
5452,衙,ngữ nha,⿴,行吾,13.0,hành,行,ノノ丨一丨フ一丨フ一一一丨,U+8859
5453,衞,vệ,⿲,彳亍口帀行,16.0,hành,行,ノノ丨フ丨一丨フ一一丨フ丨一一丨,U+885E
5454,衢,cù,⿴,行瞿,24.0,hành,行,ノノ丨丨フ一一一丨フ一一一ノ丨丶一一一丨一一一丨,U+8862
5455,衫,sam,⿰,衤彡,8.0,y,衣,丶フ丨ノ丶ノノノ,U+886B
5456,袁,viên,⿱,𠮷𧘇,10.0,y,衣,一丨一丨フ一ノフノ丶,U+8881
5457,衾,khâm,⿱,今衣,10.0,y,衣,ノ丶丶フ丶一ノフノ丶,U+887E
5458,袞,cổn,⿱,㕣衣八口,11.0,y,衣,丶一ノ丶丨フ一ノフノ丶,U+889E
5459,衵,nật,⿰,衤日,9.0,y,衣,丶フ丨ノ丶丨フ一一,U+8875
5460,衽,nhẫm,⿰,衤壬,9.0,y,衣,丶フ丨ノ丶ノ一丨一,U+887D
5461,袵,nhẫm,⿰,衤任,11.0,y,衣,丶フ丨ノ丶ノ丨ノ一丨一,U+88B5
5462,衲,nạp,⿰,衤内,9.0,y,衣,丶フ丨ノ丶丨フノ丶,U+8872
5463,袂,duệ mệ,⿰,衤夬,9.0,y,衣,丶フ丨ノ丶フ一ノ丶,U+8882
5464,袗,chân chẩn,⿰,衤㐱,10.0,y,衣,丶フ丨ノ丶ノ丶ノノノ,U+8897
5465,袒,đản,⿰,衤旦,10.0,y,衣,丶フ丨ノ丶丨フ一一一,U+8892
5466,袮,nễ nỉ,⿰,衤尓,10.0,y,衣,丶フ丨ノ丶ノ一丨ノ丶,U+88AE
5467,袙,mạt,⿰,衤白,10.0,y,衣,丶フ丨ノ丶ノ丨フ一一,U+8899
5468,袢,phiền phán,⿰,衤半,10.0,y,衣,丶フ丨ノ丶丶ノ一一丨,U+88A2
5469,袍,bào,⿰,衤包,10.0,y,衣,丶フ丨ノ丶ノフフ一フ,U+888D
5470,袤,mậu,⿴,衣矛,11.0,y,衣,丶一フ丶フ丨ノノフノ丶,U+88A4
5471,袰,tấm,⿱,母衣,11.0,y,衣,フフ丶一丶丶一ノフノ丶,U+88B0
5472,袿,khuê,⿰,衤圭,11.0,y,衣,丶フ丨ノ丶一丨一一丨一,U+88BF
5473,袱,phục,⿰,衤伏,11.0,y,衣,丶フ丨ノ丶ノ丨一ノ丶丶,U+88B1
5474,裃,lộng,⿰,衣𠧗上下,11.0,y,衣,丶フ丨ノ丶丨一一一丨丶,U+88C3
5475,裄,hàng,⿰,衤行,11.0,y,衣,丶フ丨ノ丶ノノ丨一一丨,U+88C4
5476,裔,duệ,⿱,衣冏,13.0,y,衣,丶一ノフノ丶丨フノ丶丨フ一,U+88D4
5477,裘,cầu cừu,⿱,求衣,13.0,y,衣,一丨丶一ノ丶丶丶一ノフノ丶,U+88D8
5478,裙,quần,⿰,衤君,12.0,y,衣,丶フ丨ノ丶フ一一ノ丨フ一,U+88D9
5479,裝,trang,⿱,壯衣,13.0,y,衣,フ丨一ノ一丨一丶一ノフノ丶,U+88DD
5480,裹,khoã khoả loã,⿴,衣果,14.0,y,衣,丶一丨フ一一一丨ノ丶ノフノ丶,U+88F9
5481,褂,quái,⿰,衤卦,13.0,y,衣,丶フ丨ノ丶一丨一一丨一丨丶,U+8902
5482,裼,thế tích,⿰,衤易,13.0,y,衣,丶フ丨ノ丶丨フ一一ノフノノ,U+88FC
5483,裴,bùi bồi,⿱,非衣,14.0,y,衣,丨一一一丨一一一丶一ノフノ丶,U+88F4
5484,裨,bì ty tì tỳ,⿰,衤卑,13.0,y,衣,丶フ丨ノ丶ノ丨フ一一ノ一丨,U+88E8
5485,裲,lưỡng,⿰,衤兩,13.0,y,衣,丶フ丨ノ丶一丨フ丨ノ丶ノ丶,U+88F2
5486,褄,thêu thê,⿰,衣妻一彐女,13.0,y,衣,丶フ丨ノ丶一フ一一丨フノ一,U+8904
5487,褌,côn,⿰,衤軍,14.0,y,衣,丶フ丨ノ丶丶フ一丨フ一一一丨,U+890C
5488,褊,biền biển,⿰,衤扁,14.0,y,衣,丶フ丨ノ丶丶フ一ノ丨フ一丨丨,U+890A
5489,褓,bảo,⿰,衤保,14.0,y,衣,丶フ丨ノ丶ノ丨丨フ一一丨ノ丶,U+8913
5490,襃,bao bầu bậu,⿻,呆衣口木,16.0,y,衣,丶一ノフ一丨フ一一丨ノ丶ノフノ丶,U+8943
5491,褞,uấn ôn,⿰,衤昷,14.0,y,衣,丶フ丨ノ丶丨フ一一丨フ丨丨一,U+891E
5492,褥,nhục,⿰,衤辱,15.0,y,衣,丶フ丨ノ丶一ノ一一フノ丶一丨丶,U+8925
5493,褪,thoái thối thốn,⿰,衤退,14.0,y,衣,丶フ丨ノ丶フ一一フノ丶丶フ丶,U+892A
5494,褫,sỉ,⿰,衤虒,15.0,y,衣,丶フ丨ノ丶ノノ丨一フノ一フノフ,U+892B
5495,襁,cưỡng,⿰,衤强,17.0,y,衣,丶フ丨ノ丶フ一フ丨フ一丨フ一丨一丶,U+8941
5496,襄,tương,⿻,衣口井一,17.0,y,衣,丶一丨フ一丨フ一一一丨丨一ノフノ丶,U+8944
5497,褻,tiết điệp,⿴,衣埶,17.0,y,衣,丶一一丨一ノ丶一丨一ノフ丶ノフノ丶,U+893B
5498,褶,triệp tập điệp,⿰,衤習,16.0,y,衣,丶フ丨ノ丶フ丶一フ丶一ノ丨フ一一,U+8936
5499,褸,lũ,⿰,衤婁,16.0,y,衣,丶フ丨ノ丶丨フ一一丨フ一丨フノ一,U+8938
5500,襌,đan đơn,⿰,衤單,17.0,y,衣,丶フ丨ノ丶丨フ一丨フ一丨フ一一一丨,U+894C
5501,褝,đan đơn,⿰,衤単,14.0,y,衣,丶フ丨ノ丶丶丶ノ丨フ一一一丨,U+891D
5502,襠,đang đương,⿰,衤當,18.0,y,衣,丶フ丨ノ丶丨丶ノ丶フ丨フ一丨フ一丨一,U+8960
5503,襞,bích,⿱,辟衣,19.0,y,衣,フ一ノ丨フ一丶一丶ノ一一丨丶一ノフノ丶,U+895E
5504,襦,nhu,⿰,衤需,19.0,y,衣,丶フ丨ノ丶一丶フ丨丶丶丶丶一ノ丨フ丨丨,U+8966
5505,襤,lam,⿰,衤監,19.0,y,衣,丶フ丨ノ丶一丨フ一丨フノ一丶丨フ丨丨一,U+8964
5506,襭,hiệt,⿰,衤頡,20.0,y,衣,丶フ丨ノ丶一丨一丨フ一一ノ丨フ一一一ノ丶,U+896D
5507,襪,miệt mạt vạt,⿰,衤蔑,19.0,y,衣,丶フ丨ノ丶一丨丨丨フ丨丨一一ノ丶フノ丶,U+896A
5508,襯,sấn,⿰,衤親,21.0,y,衣,丶フ丨ノ丶丶一丶ノ一一丨ノ丶丨フ一一一ノフ,U+896F
5509,襴,lan,⿰,衤闌,22.0,y,衣,丶フ丨ノ丶丨フ一一丨フ一一一丨フ丶ノ一丨ノ丶,U+8974
5510,襷,cử,⿰,衣擧與手,22.0,y,衣,丶フ丨ノ丶ノ丨一一一フ丨フ一一一ノ丶ノ一一丨,U+8977
5511,襾,á,⿻,襾,6.0,á,襾,一丨フ丨丨一,U+897E
5512,覃,diễm đàm,⿱,覀早,12.0,á,襾,一丨フ丨丨一丨フ一一一丨,U+8983
5513,覈,hạch,⿱,覀敫,19.0,á,襾,一丨フ丨丨一ノ丨フ一一丶一フノノ一ノ丶,U+8988
5514,覊,ki ky,⿱,覀䩻,25.0,á,襾,一丨フ丨丨一一丨丨一丨フ一一丨一丨一一丨フ丶丶丶丶,U+898A
5515,覓,mịch,⿱,爫見,11.0,kiến,見,ノ丶丶ノ丨フ一一一ノフ,U+8993
5516,覘,chiêm siêm,⿰,占見,12.0,kiến,見,丨一丨フ一丨フ一一一ノフ,U+8998
5517,覡,hích,⿰,巫見,14.0,kiến,見,一丨ノ丶ノ丶一丨フ一一一ノフ,U+89A1
5518,覩,đổ,⿰,者見,15.0,kiến,見,一丨一ノ丨フ一一丨フ一一一ノフ,U+89A9
5519,覦,du,⿰,俞見,16.0,kiến,見,ノ丶一丨フ一一丨丨丨フ一一一ノフ,U+89A6
5520,覬,kí ký,⿰,豈見,17.0,kiến,見,丨フ丨一丨フ一丶ノ一丨フ一一一ノフ,U+89AC
5521,覯,cấu,⿰,冓見,17.0,kiến,見,一一丨丨一丨フ丨一一丨フ一一一ノフ,U+89AF
5522,覲,cẩn cận,⿰,堇見,18.0,kiến,見,一丨丨一丨フ一一一丨一丨フ一一一ノフ,U+89B2
5523,覺,giác giáo,⿱,𦥯見,20.0,kiến,見,ノ丨一一ノ丶ノ丶フ一一丶フ丨フ一一一ノフ,U+89BA
5524,覽,lãm,⿰,臣一皿見監,21.0,kiến,見,一丨フ一丨フノ一丶丨フ丨丨一丨フ一一一ノフ,U+89BD
5525,覿,địch,⿰,賣見,22.0,kiến,見,一丨一丨フ丨丨一丨フ一一一ノ丶丨フ一一一ノフ,U+89BF
5526,觀,quan quán,⿰,雚見,24.0,kiến,見,一丨丨丨フ一丨フ一ノ丨丶一一一丨一丨フ一一一ノフ,U+89C0
5527,觚,cô,⿰,角瓜,12.0,giác,角,ノフノフ一一丨ノノフ丶丶,U+89DA
5528,觜,chuỷ tuy tuỷ tư,⿱,此角,13.0,giác,角,丨一丨一ノフノフノフ一一丨,U+89DC
5529,觝,để,⿰,角氐,12.0,giác,角,ノフノフ一一丨ノフ一フ丶,U+89DD
5530,觧,giải,⿰,角羊,13.0,giác,角,ノフノフ一一丨丶ノ一一一丨,U+89E7
5531,觴,thương tràng trường,⿰⿱,角𠂉昜,18.0,giác,角,ノフノフ一一丨ノ一丨フ一一一ノフノノ,U+89F4
5532,觸,xúc,⿰,角蜀,20.0,giác,角,ノフノフ一一丨丨フ丨丨一ノフ丨フ一丨一丶,U+89F8
5533,訃,phó,⿰,言卜,9.0,ngôn,言,丶一一一丨フ一丨丶,U+8A03
5534,訖,cật ngật,⿰,言乞,10.0,ngôn,言,丶一一一丨フ一ノ一フ,U+8A16
5535,訐,kiết yết,⿰,言干,10.0,ngôn,言,丶一一一丨フ一一一丨,U+8A10
5536,訌,hồng,⿰,言工,10.0,ngôn,言,丶一一一丨フ一一丨一,U+8A0C
5537,訛,ngoa,⿰,言化,11.0,ngôn,言,丶一一一丨フ一ノ丨ノフ,U+8A1B
5538,訝,nhạ,⿰,言牙,11.0,ngôn,言,丶一一一丨フ一一フ丨ノ,U+8A1D
5539,訥,nột,⿰,言内,11.0,ngôn,言,丶一一一丨フ一丨フノ丶,U+8A25
5540,訶,ha,⿰,言可,12.0,ngôn,言,丶一一一丨フ一一丨フ一丨,U+8A36
5541,詁,cổ hỗ,⿰,言古,12.0,ngôn,言,丶一一一丨フ一一丨丨フ一,U+8A41
5542,詛,trớ trở,⿰,言且,12.0,ngôn,言,丶一一一丨フ一丨フ一一一,U+8A5B
5543,詒,di đãi,⿰,言台,12.0,ngôn,言,丶一一一丨フ一フ丶丨フ一,U+8A52
5544,詆,để,⿰,言氐,12.0,ngôn,言,丶一一一丨フ一ノフ一フ丶,U+8A46
5545,詈,lị,⿱,罒言,12.0,ngôn,言,丨フ丨丨一丶一一一丨フ一,U+8A48
5546,詼,khôi,⿰,言灰,13.0,ngôn,言,丶一一一丨フ一一ノ丶ノノ丶,U+8A7C
5547,詭,nguỵ quỷ,⿰,言危,13.0,ngôn,言,丶一一一丨フ一ノフ一ノフフ,U+8A6D
5548,詬,cấu,⿰,言后,13.0,ngôn,言,丶一一一丨フ一ノノ一丨フ一,U+8A6C
5549,詢,tuân,⿰,言旬,13.0,ngôn,言,丶一一一丨フ一ノフ丨フ一一,U+8A62
5550,誅,tru,⿰,言朱,13.0,ngôn,言,丶一一一丨フ一ノ一一丨ノ丶,U+8A85
5551,誂,điếu điệu,⿰,言兆,13.0,ngôn,言,丶一一一丨フ一ノ丶一フノ丶,U+8A82
5552,誄,luỵ lỗi,⿰,言耒,13.0,ngôn,言,丶一一一丨フ一一一一丨ノ丶,U+8A84
5553,誨,hối,⿰,言每,14.0,ngôn,言,丶一一一丨フ一ノ一フフ丶一丶,U+8AA8
5554,誡,giới,⿰,言戒,14.0,ngôn,言,丶一一一丨フ一一一ノ丨フノ丶,U+8AA1
